# Attribute names assigned by hand. See tools/resolve.py.
# One per line: "owner/repo" then the attribute name, whitespace separated.
#
# A name here overrides the one derived from the repository name, and wins
# any contention for it. Two jobs:
#
#   1. Reserve a short name for a project a person typing that name plainly
#      means. Under the naming rule a short name is assigned automatically
#      only when the repository name is unique, and 4,006 of the names in
#      use are claimed by more than one repository -- 61 repositories are
#      named home-manager, 67 nixvim, 31 nixpkgs. Without a line here every
#      one of those falls back to its qualified name.
#
#   2. Correct a derived name that says nothing. nixified-ai/flake derives
#      "flake"; catppuccin/nix derives "nix". Both are the repository name
#      doing a poor job of naming the project.
#
# Leaving a contested repository out is the normal case, not an oversight.
# It stays reachable as flakes."github:owner/repo" and github.owner.repo,
# which is unambiguous. A name is reserved only when the bare form carries
# real information: "postgres" does not obviously mean supabase/postgres,
# so that one is absent on purpose.
#
# Each group below is a keep-sorted block, sorted on the repository
# column; `nix fmt` sorts it and `nix flake check` fails on a group
# left unsorted.

# Foundations. Substituted into every indexed flake by name, so these are
# the names that must not drift.
# keep-sorted start case=no
NixOS/flake-compat                  flake-compat
NixOS/nixpkgs                       nixpkgs
numtide/flake-utils                 flake-utils
# keep-sorted end

# The flakes people write into a NixOS or nix-darwin configuration.
# keep-sorted start case=no
anduril/jetpack-nixos               jetpack-nixos
Infinidoge/nix-minecraft            nix-minecraft
Jovian-Experiments/Jovian-NixOS     jovian-nixos
Maroka-chan/VPN-Confinement         vpn-confinement
mightyiam/files                     files
nix-community/disko                 disko
nix-community/home-manager          home-manager
nix-community/impermanence          impermanence
nix-community/lanzaboote            lanzaboote
nix-community/nix-on-droid          nix-on-droid
nix-community/nixos-anywhere        nixos-anywhere
nix-community/NixOS-WSL             nixos-wsl
nix-community/robotnix              robotnix
nix-darwin/nix-darwin               nix-darwin
NixOS/nixos-hardware                nixos-hardware
numtide/system-manager              system-manager
SEIAROTg/quadlet-nix                quadlet-nix
# keep-sorted end

# Development environments and shells.
# keep-sorted start case=no
cachix/devenv                       devenv
jetify-com/devbox                   devbox
nix-community/nix-environments      nix-environments
numtide/blueprint                   blueprint
numtide/devshell                    devshell
# keep-sorted end

# Editors, themes and desktop.
# keep-sorted start case=no
0xc000022070/zen-browser-flake      zen-browser-flake
Gerg-L/spicetify-nix                spicetify-nix
helix-editor/helix                  helix
hyprwm/Hyprland                     hyprland
nix-community/kickstart-nix.nvim    kickstart-nix-nvim
nix-community/nixvim                nixvim
nix-community/stylix                stylix
NotAShelf/nvf                       nvf
SenchoPens/base16.nix               base16-nix
# keep-sorted end

# Tooling: build, deploy, cache, lint.
# keep-sorted start case=no
DeterminateSystems/flake-checker    flake-checker
kamadorueda/alejandra               alejandra
nix-community/colmena               colmena
nix-community/comma                 comma
nix-community/nix-index             nix-index
nix-community/nix-init              nix-init
nix-community/nixd                  nixd
nix-community/nixos-cli             nixos-cli
nix-community/NUR                   nur
NixOS/hydra                         hydra
NixOS/nixops                        nixops
serokell/deploy-rs                  deploy-rs
utdemir/nix-tree                    nix-tree
zhaofengli/attic                    attic
zhaofengli/nix-homebrew             nix-homebrew
# keep-sorted end

# Language and ecosystem integrations.
# keep-sorted start case=no
divnix/digga                        digga
divnix/std                          std
hall/kubenix                        kubenix
juspay/omnix                        omnix
pyproject-nix/uv2nix                uv2nix
srid/haskell-flake                  haskell-flake
terranix/terranix                   terranix
yunfachi/denix                      denix
# keep-sorted end

# Templates. NixOS/templates is the referent for the bare name; the other
# 65 repositories named templates or flake-templates are not.
# keep-sorted start case=no
NixOS/templates                     templates
the-nix-way/dev-templates           dev-templates
# keep-sorted end

# Derived names that say nothing about the project. Some of these are also
# in manual.txt, because classify.py reads their repository names as
# personal configs; the same names are useless as API.
# keep-sorted start case=no
catppuccin/nix                      catppuccin
nixified-ai/flake                   nixified-ai
xremap/nix-flake                    xremap
# keep-sorted end

# Bare names taken away. Each of these is the only repository of its name,
# so the contention rule leaves it holding one that indexed flakes
# overwhelmingly use for a different project, and unified rewrites that
# input everywhere. There is no line that would fix them instead: the
# flake 319 of them mean by git-hooks is cachix/git-hooks.nix, which
# already answers to git-hooks-nix and cannot answer to both, and the one
# 149 mean by firefox-addons is a subdirectory of a GitLab repository that
# the index does not carry at all.
# keep-sorted start case=no
akirak/git-hooks                    -
seadome/firefox-addons              -
# keep-sorted end
